"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Mar-2024","EQ","895.00","901.20","865.00","893.25","877.00","872.45","885.02","1,408.85","410.40","16,47,346","1,45,79,27,116.50","47,720"
"26-Mar-2024","EQ","906.85","909.75","878.00","902.45","891.10","893.25","891.09","1,408.85","410.40","16,37,539","1,45,92,00,795.60","47,093"
"22-Mar-2024","EQ","898.00","930.80","897.05","895.85","905.95","902.45","912.10","1,408.85","410.40","31,50,242","2,87,33,43,580.90","72,971"
"21-Mar-2024","EQ","887.45","922.90","884.70","878.25","897.35","895.85","907.87","1,408.85","410.40","46,87,245","4,25,54,13,805.25","1,09,972"
"20-Mar-2024","EQ","888.80","903.95","875.00","881.20","877.00","878.25","885.40","1,408.85","410.40","16,40,751","1,45,27,28,385.50","54,400"
"19-Mar-2024","EQ","873.85","911.35","864.25","875.50","885.00","881.20","890.43","1,408.85","410.40","45,60,368","4,06,07,05,704.15","1,25,413"
"18-Mar-2024","EQ","897.00","912.35","870.45","890.45","875.00","875.50","890.51","1,408.85","410.40","31,71,617","2,82,43,52,401.75","1,10,095"
"15-Mar-2024","EQ","805.00","905.00","788.60","804.30","897.00","890.45","862.68","1,408.85","410.40","1,18,12,467","10,19,03,74,297.05","2,78,349"
"14-Mar-2024","EQ","739.95","814.00","713.35","730.80","803.00","804.30","778.28","1,408.85","410.40","37,13,524","2,89,01,74,801.85","1,32,102"
"13-Mar-2024","EQ","820.00","837.20","716.45","818.05","740.00","730.80","765.86","1,408.85","410.40","34,54,793","2,64,58,73,364.15","1,59,123"
"12-Mar-2024","EQ","850.00","856.00","814.20","848.30","818.00","818.05","826.87","1,408.85","410.40","14,07,869","1,16,41,19,486.50","62,803"
"11-Mar-2024","EQ","867.20","867.20","845.00","867.20","845.00","848.30","852.84","1,408.85","410.40","7,87,870","67,19,24,021.55","36,799"
"07-Mar-2024","EQ","854.85","875.70","853.85","854.85","868.00","867.20","866.54","1,408.85","410.40","10,11,544","87,65,41,146.35","40,289"
"06-Mar-2024","EQ","875.95","876.65","843.75","876.25","855.50","854.85","856.11","1,408.85","410.40","14,72,985","1,26,10,39,791.00","55,511"
"05-Mar-2024","EQ","884.55","890.10","872.80","881.30","875.00","876.25","881.96","1,408.85","410.40","10,82,470","95,46,97,222.80","38,658"
"04-Mar-2024","EQ","876.90","913.80","864.50","872.35","882.35","881.30","893.08","1,408.85","410.40","34,02,600","3,03,87,83,997.10","1,11,047"
"02-Mar-2024","EQ","877.20","877.90","870.00","873.80","872.15","872.35","872.87","1,408.85","410.40","1,32,309","11,54,89,027.65","6,087"
"01-Mar-2024","EQ","878.90","883.90","868.00","875.10","874.00","873.80","874.95","1,408.85","410.40","14,72,366","1,28,82,44,975.10","52,489"
"29-Feb-2024","EQ","854.20","879.50","854.20","854.20","877.80","875.10","868.46","1,408.85","410.40","25,82,071","2,24,24,34,420.80","88,205"
"28-Feb-2024","EQ","866.00","903.45","842.00","854.05","853.00","854.20","881.91","1,408.85","410.40","85,93,058","7,57,82,69,965.00","2,12,051"
"27-Feb-2024","EQ","860.00","865.00","851.20","859.20","853.05","854.05","857.62","1,408.85","410.40","10,38,904","89,09,85,607.15","36,130"
"26-Feb-2024","EQ","862.25","869.95","849.10","858.70","856.00","859.20","860.62","1,408.85","410.40","12,53,538","1,07,88,26,069.45","47,585"
"23-Feb-2024","EQ","840.00","863.90","834.05","836.30","859.00","858.70","852.37","1,408.85","410.40","17,39,872","1,48,30,15,206.80","59,312"
"22-Feb-2024","EQ","834.40","844.00","814.15","830.85","836.85","836.30","832.37","1,408.85","410.40","12,69,496","1,05,66,86,918.55","49,220"
"21-Feb-2024","EQ","846.55","849.90","825.05","843.80","834.40","830.85","836.17","1,408.85","410.40","10,05,409","84,06,96,349.20","41,252"
"20-Feb-2024","EQ","852.60","854.95","840.05","851.00","846.55","843.80","845.50","1,408.85","410.40","10,47,391","88,55,64,704.15","37,193"
"19-Feb-2024","EQ","845.00","869.25","839.05","839.25","852.60","851.00","853.60","1,408.85","410.40","19,87,506","1,69,65,37,132.90","72,573"
"16-Feb-2024","EQ","864.80","884.75","835.00","860.85","845.00","839.25","855.23","1,408.85","410.40","18,58,009","1,58,90,29,925.75","64,839"
"15-Feb-2024","EQ","851.00","864.90","845.50","847.40","861.90","860.85","856.42","1,408.85","410.40","12,78,231","1,09,47,02,892.95","46,149"
"14-Feb-2024","EQ","810.05","853.50","810.05","842.80","849.95","847.40","836.55","1,408.85","410.40","14,77,541","1,23,60,42,521.85","56,561"
"13-Feb-2024","EQ","817.50","853.10","795.00","805.40","843.00","842.80","832.20","1,408.85","410.40","31,56,914","2,62,71,92,151.25","1,12,317"
"12-Feb-2024","EQ","882.00","882.00","790.00","882.65","817.50","805.40","828.37","1,408.85","410.40","36,82,525","3,05,05,00,580.45","1,32,098"
"09-Feb-2024","EQ","915.50","916.20","865.50","911.40","883.15","882.65","884.71","1,408.85","410.40","21,88,203","1,93,59,24,538.95","85,296"
"08-Feb-2024","EQ","878.55","920.00","863.90","873.90","913.00","911.40","901.40","1,408.85","410.40","38,37,173","3,45,88,12,216.80","1,14,550"
"07-Feb-2024","EQ","887.50","897.00","871.50","884.50","875.00","873.90","882.39","1,408.85","410.40","11,82,679","1,04,35,80,718.20","45,029"
"06-Feb-2024","EQ","895.00","895.00","863.20","890.65","887.50","884.50","880.33","1,408.85","410.40","16,31,959","1,43,66,67,060.00","58,869"
"05-Feb-2024","EQ","913.00","924.45","880.80","905.20","894.00","890.65","906.97","1,408.85","410.40","25,38,611","2,30,24,54,155.70","79,117"
"02-Feb-2024","EQ","919.10","922.00","903.00","911.55","905.90","905.20","911.46","1,408.85","410.40","19,73,422","1,79,86,85,390.60","60,487"
"01-Feb-2024","EQ","922.50","941.95","902.40","912.20","914.00","911.55","923.53","1,408.85","410.40","45,22,178","4,17,63,67,427.70","1,26,097"
